file_id,filepath,transcript,emotion,label
YAF_ditch_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_angry\YAF_ditch_angry.wav,say the word ditch,angry,0
YAF_hit_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_pleasant_surprised\YAF_hit_ps.wav,say the word hit,surprise,6
YAF_when_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_neutral\YAF_when_neutral.wav,say the word when,neutral,4
OAF_nice_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_neutral\OAF_nice_neutral.wav,say the word nice,neutral,4
OAF_judge_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_judge_angry.wav,say the word judge,angry,0
YAF_pain_fear,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_fear\YAF_pain_fear.wav,say the word pain,fear,2
OAF_join_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_neutral\OAF_join_neutral.wav,say the word join,neutral,4
OAF_seize_fear,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Fear\OAF_seize_fear.wav,say the word seize,fear,2
OAF_when_fear,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Fear\OAF_when_fear.wav,say the word when,fear,2
YAF_learn_disgust,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_disgust\YAF_learn_disgust.wav,say the word learn,disgust,1
YAF_thumb_sad,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_sad\YAF_thumb_sad.wav,say the word thumb,sad,5
YAF_sheep_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_angry\YAF_sheep_angry.wav,say the word sheep,angry,0
OAF_tire_happy,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_happy\OAF_tire_happy.wav,say the word tire,happy,3
YAF_vote_disgust,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_disgust\YAF_vote_disgust.wav,say the word vote,disgust,1
YAF_kill_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_neutral\YAF_kill_neutral.wav,say the word kill,neutral,4
OAF_numb_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_numb_ps.wav,say the word numb,surprise,6
OAF_size_sad,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Sad\OAF_size_sad.wav,say the word size,sad,5
YAF_time_disgust,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_disgust\YAF_time_disgust.wav,say the word time,disgust,1
OAF_page_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_neutral\OAF_page_neutral.wav,say the word page,neutral,4
OAF_judge_happy,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_happy\OAF_judge_happy.wav,say the word judge,happy,3
YAF_gin_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_angry\YAF_gin_angry.wav,say the word gin,angry,0
YAF_chalk_fear,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_fear\YAF_chalk_fear.wav,say the word chalk,fear,2
OAF_love_disgust,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_love_disgust.wav,say the word love,disgust,1
OAF_ton_disgust,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_ton_disgust.wav,say the word ton,disgust,1
OAF_sheep_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_sheep_ps.wav,say the word sheep,surprise,6
YAF_lean_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_neutral\YAF_lean_neutral.wav,say the word lean,neutral,4
OAF_puff_happy,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_happy\OAF_puff_happy.wav,say the word puff,happy,3
YAF_soap_neutral,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_neutral\YAF_soap_neutral.wav,say the word soap,neutral,4
YAF_date_sad,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_sad\YAF_date_sad.wav,say the word date,sad,5
YAF_met_sad,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_sad\YAF_met_sad.wav,say the word met,sad,5
YAF_have_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_pleasant_surprised\YAF_have_ps.wav,say the word have,surprise,6
OAF_dead_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dead_angry.wav,say the word dead,angry,0
OAF_wag_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_wag_ps.wav,say the word wag,surprise,6
YAF_nice_angry,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_angry\YAF_nice_angry.wav,say the word nice,angry,0
YAF_tell_happy,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_happy\YAF_tell_happy.wav,say the word tell,happy,3
YAF_love_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_pleasant_surprised\YAF_love_ps.wav,say the word love,surprise,6
OAF_size_ps,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_size_ps.wav,say the word size,surprise,6
YAF_peg_fear,C:\Users\sande\Desktop\multimodal_emotion_project\dataset\TESS Toronto emotional speech set data\YAF_fear\YAF_peg_fear.wav,say the word peg,fear,2
